id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
3745998,3745998,(2016 EN84),20.15,0.2480589932,0.5546767711,False,2024-05-06,51013.1500243841,0.2138413766,31990214.45722784,83.1842954974,Earth
3837800,3837800,(2019 AP9),19.73,0.3009920165,0.6730386097,False,2024-05-06,78320.8000626653,0.3246535177,48567474.7359273,126.2902183853,Earth
54055121,54055121,(2020 TS3),25.3,0.0231502122,0.0517654482,False,2024-05-06,61203.9672930168,0.3875176336,57971812.57400043,150.7443594704,Earth
54096684,54096684,(2020 WN5),27.96,0.0068007213,0.0152068751,False,2024-05-06,53882.6005090048,0.1145840772,17141533.885035563,44.5732060308,Earth
54106347,54106347,(2021 BO1),29.2,0.0038419789,0.008590926,False,2024-05-06,85037.8683756391,0.4533772546,67824271.5946077,176.3637520394,Earth
54123628,54123628,(2021 DW1),25.02,0.0263363131,0.0588897864,False,2024-05-06,45339.4328808733,0.3040907636,45491330.52123353,118.2913070404,Earth
2612970,2612970,612970 (2005 HN3),21.15,0.1565146436,0.3499773825,False,2024-05-06,27136.0039499009,0.1127755588,16870983.384539757,43.8696923732,Earth
54296744,54296744,(2022 QA3),20.62,0.1997813652,0.4467247133,False,2024-05-06,79826.4004567626,0.4007660649,59953749.67732176,155.8979992461,Earth
54339760,54339760,(2023 BW),24.47,0.0339277435,0.0758647409,False,2024-05-06,31819.3487988011,0.1795570044,26861345.40182063,69.8476747116,Earth
54357784,54357784,(2023 JV),24.66,0.0310852938,0.0695088301,False,2024-05-06,73838.2777617413,0.4042651742,60477208.97549895,157.2591527638,Earth
54357980,54357980,(2023 JL1),27.29,0.0092588058,0.0207033192,False,2024-05-06,19652.2859071234,0.1492301219,22324508.376080353,58.0505174191,Earth
54402140,54402140,(2023 VH),22.71,0.0763053479,0.1706239449,False,2024-05-06,55002.898343003,0.1626678789,24334768.200857945,63.2778048921,Earth
54432968,54432968,(2024 GE1),23.09,0.0640552863,0.1432319745,False,2024-05-06,12307.1922943163,0.2343607402,35059867.54554337,91.1663279378,Earth
54438668,54438668,(2024 HE2),26.08,0.0161642283,0.0361443134,False,2024-05-06,43463.0741369796,0.0080617485,1206020.404075695,3.1360201665,Earth
54438672,54438672,(2024 HL2),25.74,0.0189040552,0.0422707525,False,2024-05-06,48225.4161778141,0.0194252593,2905977.415477691,7.5564258677,Earth
54438675,54438675,(2024 HM2),24.21,0.0382432662,0.0855145429,False,2024-05-06,90112.9311296676,0.0444391425,6648001.062626475,17.2868264325,Earth
54439316,54439316,(2024 HY2),21.25,0.1494703242,0.3342258056,False,2024-05-06,74644.8052761,0.4597542642,68778258.64773725,178.8444087738,Earth
54439322,54439322,(2024 JF),28.48,0.0053524791,0.011968507,False,2024-05-06,42081.272687588,0.0031782083,475453.192096321,1.2363230287,Earth
54439420,54439420,(2024 JQ),25.19,0.0243531406,0.0544552779,False,2024-05-06,19994.7529157616,0.0563260703,8426260.14235026,21.9108413467,Earth
54440000,54440000,(2024 JQ2),24.78,0.0294140602,0.0657718381,False,2024-05-06,48063.8678664046,0.0638943349,9558456.406106664,24.8548962761,Earth
54440001,54440001,(2024 JY2),25.03,0.0262153087,0.0586192124,False,2024-05-06,22581.4979470855,0.106431463,15921920.16578381,41.401839107,Earth
54440321,54440321,(2024 JP3),27.4,0.0088014652,0.0196806745,False,2024-05-06,24688.3487601554,0.0320383955,4792875.725017585,12.4629358495,Earth
54445202,54445202,(2024 KD1),23.3,0.058150704,0.130028927,False,2024-05-06,36546.693914286,0.1468259536,21964849.91927883,57.1152959504,Earth
54487290,54487290,(2024 TA3),26.72,0.0120380177,0.0269178258,False,2024-05-06,32793.5783359473,0.2896484805,43330795.73153654,112.6732589145,Earth
3477940,3477940,(2009 WW7),28.9,0.004411182,0.0098637028,False,2024-05-03,72033.24393662,0.4006207466,59932010.36916974,155.8414704274,Earth
3774006,3774006,(2017 HX),24.2,0.0384197891,0.0859092601,False,2024-05-03,75962.4528131982,0.2904715833,43453930.15720757,112.9934459037,Earth
3825607,3825607,(2018 NT2),23.8,0.046190746,0.1032856481,False,2024-05-03,24556.7177407457,0.3951193503,59109013.200663865,153.7014272667,Earth
54016955,54016955,(2020 JG),25.8,0.0183888672,0.0411187571,False,2024-05-03,61526.5519347364,0.1354220606,20258851.816770922,52.6791815734,Earth
54144240,54144240,(2021 JZ2),22.91,0.0695913044,0.1556108872,False,2024-05-03,69804.2473644355,0.3255447557,48700802.04239036,126.6369099673,Earth
